diseases,match_count,coverage,disease_symptom_count,precision_like,score
restless leg syndrome,4,0.8,8,0.5,0.71
acute stress reaction,4,0.8,11,0.36363636363636365,0.6690909090909091
narcolepsy,3,0.6,7,0.42857142857142855,0.5485714285714285
eating disorder,3,0.6,9,0.3333333333333333,0.52
neurosis,3,0.6,11,0.2727272727272727,0.5018181818181818
anxiety,3,0.6,12,0.25,0.495
autonomic nervous system disorder,2,0.4,5,0.4,0.39999999999999997
encephalitis,2,0.4,5,0.4,0.39999999999999997
metastatic cancer,2,0.4,5,0.4,0.39999999999999997
polycythemia vera,2,0.4,5,0.4,0.39999999999999997
primary immunodeficiency,2,0.4,5,0.4,0.39999999999999997
poisoning due to sedatives,2,0.4,6,0.3333333333333333,0.37999999999999995
lung cancer,2,0.4,7,0.2857142857142857,0.36571428571428566
lyme disease,2,0.4,7,0.2857142857142857,0.36571428571428566
malignant hypertension,2,0.4,7,0.2857142857142857,0.36571428571428566
primary insomnia,2,0.4,7,0.2857142857142857,0.36571428571428566
psychosexual disorder,2,0.4,7,0.2857142857142857,0.36571428571428566
brain cancer,2,0.4,8,0.25,0.355
impulse control disorder,2,0.4,8,0.25,0.355
adjustment reaction,2,0.4,9,0.2222222222222222,0.3466666666666666
dysthymic disorder,2,0.4,9,0.2222222222222222,0.3466666666666666
herpangina,2,0.4,9,0.2222222222222222,0.3466666666666666
pain disorder affecting the neck,2,0.4,9,0.2222222222222222,0.3466666666666666
social phobia,2,0.4,9,0.2222222222222222,0.3466666666666666
bipolar disorder,2,0.4,10,0.2,0.33999999999999997
drug abuse (opioids),2,0.4,10,0.2,0.33999999999999997
post-traumatic stress disorder (ptsd),2,0.4,10,0.2,0.33999999999999997
depression,2,0.4,11,0.18181818181818182,0.33454545454545453
hypertensive heart disease,2,0.4,11,0.18181818181818182,0.33454545454545453
multiple sclerosis,2,0.4,11,0.18181818181818182,0.33454545454545453
panic disorder,2,0.4,11,0.18181818181818182,0.33454545454545453
personality disorder,2,0.4,11,0.18181818181818182,0.33454545454545453
psychotic disorder,2,0.4,11,0.18181818181818182,0.33454545454545453
schizophrenia,2,0.4,11,0.18181818181818182,0.33454545454545453
infectious gastroenteritis,2,0.4,12,0.16666666666666666,0.32999999999999996
noninfectious gastroenteritis,2,0.4,12,0.16666666666666666,0.32999999999999996
obstructive sleep apnea (osa),2,0.4,12,0.16666666666666666,0.32999999999999996
strep throat,2,0.4,12,0.16666666666666666,0.32999999999999996
heart contusion,1,0.2,2,0.5,0.29
high blood pressure,1,0.2,2,0.5,0.29
hypergammaglobulinemia,1,0.2,2,0.5,0.29
kaposi sarcoma,1,0.2,2,0.5,0.29
open wound of the head,1,0.2,2,0.5,0.29
rocky mountain spotted fever,1,0.2,2,0.5,0.29
thalassemia,1,0.2,2,0.5,0.29
turner syndrome,1,0.2,2,0.5,0.29
intracranial abscess,1,0.2,3,0.3333333333333333,0.24
myelodysplastic syndrome,1,0.2,3,0.3333333333333333,0.24
primary thrombocythemia,1,0.2,3,0.3333333333333333,0.24
