turn_idx,speaker,message,top_symptoms,scores
0,Doctor,Good morning. How are you feeling today?,"[""feeling ill"", ""sleepiness"", ""increased heart rate"", ""fatigue"", ""feeling hot""]","[0.4250568151473999, 0.3665846586227417, 0.33178845047950745, 0.3302220106124878, 0.32797878980636597]"
1,Patient,"Good morning, doctor. I've been feeling a bit off lately, just not myself.","[""feeling ill"", ""sleepiness"", ""fatigue"", ""recent weight loss"", ""decreased appetite""]","[0.4727005064487457, 0.40603166818618774, 0.40336599946022034, 0.3542079031467438, 0.34161192178726196]"
2,Doctor,I see. Can you tell me more about what you’ve been experiencing?,"[""mass or swelling around the anus"", ""cloudy eye"", ""anxiety and nervousness"", ""difficulty breathing"", ""kidney mass""]","[0.42108649015426636, 0.4167355000972748, 0.39609724283218384, 0.38971060514450073, 0.38856059312820435]"
3,Patient,"Well, I feel tired all the time, even after sleeping well. And sometimes I get headaches, but they’re not too bad.","[""sleepiness"", ""fatigue"", ""insomnia"", ""eye strain"", ""headache""]","[0.5923658609390259, 0.5198987722396851, 0.4426339268684387, 0.43159621953964233, 0.414182186126709]"
4,Doctor,How long have you been feeling this way?,"[""recent weight loss"", ""feeling ill"", ""anxiety and nervousness"", ""restlessness"", ""sleepiness""]","[0.39236921072006226, 0.3876936435699463, 0.35834330320358276, 0.35654035210609436, 0.35178235173225403]"
5,Patient,It's been going on for about a week now.,"[""change in skin mole size or color"", ""leg lump or mass"", ""muscle swelling"", ""difficulty breathing"", ""lump or mass of breast""]","[0.2886980175971985, 0.27980947494506836, 0.263299822807312, 0.26183193922042847, 0.2575279772281647]"
6,Doctor,"Any other symptoms, like trouble sleeping or changes in appetite?","[""difficulty eating"", ""decreased appetite"", ""recent weight loss"", ""sleepiness"", ""excessive appetite""]","[0.5243058204650879, 0.5154721140861511, 0.4641127586364746, 0.45120635628700256, 0.4368816018104553]"
7,Patient,"Actually, yes. I've had trouble falling asleep and I’m not very hungry most days.","[""decreased appetite"", ""difficulty eating"", ""sleepiness"", ""insomnia"", ""fatigue""]","[0.4460548162460327, 0.392599493265152, 0.3776174783706665, 0.3719406723976135, 0.3562282621860504]"
8,Doctor,"Okay, and have you noticed anything that makes you feel better or worse?","[""feeling ill"", ""swollen lymph nodes"", ""cloudy eye"", ""delusions or hallucinations"", ""flu-like syndrome""]","[0.39185547828674316, 0.36103785037994385, 0.35254785418510437, 0.34377989172935486, 0.34368765354156494]"
9,Patient,"Not really. Rest helps a little, but the tiredness comes back quickly.","[""fatigue"", ""sleepiness"", ""insomnia"", ""restlessness"", ""weakness""]","[0.5026041865348816, 0.4588342010974884, 0.36598628759384155, 0.30365824699401855, 0.27715516090393066]"
10,Doctor,Have you been under a lot of stress recently?,"[""anxiety and nervousness"", ""fears and phobias"", ""disturbance of memory"", ""recent weight loss"", ""sleepiness""]","[0.3669467270374298, 0.34229326248168945, 0.3350866436958313, 0.312427818775177, 0.31090542674064636]"
11,Patient,"Yes, work has been pretty hectic and I’ve been worried about some deadlines.","[""hesitancy"", ""lack of growth"", ""sleepiness"", ""difficulty breathing"", ""scanty menstrual flow""]","[0.40378034114837646, 0.3097139596939087, 0.30383968353271484, 0.28820812702178955, 0.277905136346817]"
12,Doctor,That can definitely affect how you feel. How about your mood? Any feelings of sadness or anxiety?,"[""emotional symptoms"", ""anxiety and nervousness"", ""fears and phobias"", ""depressive or psychotic symptoms"", ""depression""]","[0.48558831214904785, 0.4834930896759033, 0.43046581745147705, 0.417228102684021, 0.40405964851379395]"
13,Patient,"Sometimes I feel anxious, and a bit down, but nothing too overwhelming.","[""anxiety and nervousness"", ""fears and phobias"", ""hesitancy"", ""difficulty breathing"", ""restlessness""]","[0.6150950193405151, 0.5381858348846436, 0.47804969549179077, 0.4568616449832916, 0.45391201972961426]"
14,Doctor,Thank you for sharing that. It’s good to talk about it. Is there anything else you’d like to add?,"[""mass or swelling around the anus"", ""mass in scrotum"", ""mass on vulva"", ""swelling of scrotum"", ""elbow swelling""]","[0.33630573749542236, 0.32982367277145386, 0.31104564666748047, 0.30541205406188965, 0.3050297200679779]"
15,Patient,"No, that’s about it. Just hoping to feel better soon.","[""feeling ill"", ""flu-like syndrome"", ""fatigue"", ""recent weight loss"", ""increased heart rate""]","[0.4345366954803467, 0.3180099129676819, 0.31250253319740295, 0.31037235260009766, 0.30619046092033386]"
16,Doctor,"I understand. Let’s keep talking about how you’re feeling over the next few days. If anything changes or gets worse, be sure to let me know.","[""recent weight loss"", ""feeling ill"", ""sleepiness"", ""anxiety and nervousness"", ""feeling hot and cold""]","[0.46048495173454285, 0.45307496190071106, 0.4127195477485657, 0.39902186393737793, 0.3911602795124054]"
