turn_idx,speaker,message,top_symptoms,scores
0,Doctor,Hello. What brings you in today?,"[""feeling hot"", ""feeling ill"", ""fever"", ""increased heart rate"", ""cloudy eye""]","[0.26958101987838745, 0.25240153074264526, 0.24516640603542328, 0.21718180179595947, 0.21458199620246887]"
1,Patient,"Hi, doctor. I've been having some stomach discomfort and occasional nausea.","[""nausea"", ""diarrhea"", ""regurgitation"", ""vomiting"", ""stomach bloating""]","[0.6042337417602539, 0.47786402702331543, 0.4495750367641449, 0.4494105875492096, 0.44136083126068115]"
2,Doctor,I’m sorry to hear that. Can you tell me when these symptoms started?,"[""swollen lymph nodes"", ""knee cramps or spasms"", ""kidney mass"", ""symptoms of infants"", ""difficulty eating""]","[0.3870663642883301, 0.3734835982322693, 0.3721001148223877, 0.3581154942512512, 0.3540712594985962]"
3,Patient,"It started about three days ago. Especially after meals, I feel bloated and sometimes nauseous.","[""difficulty eating"", ""nausea"", ""stomach bloating"", ""diarrhea"", ""constipation""]","[0.460673451423645, 0.4469853639602661, 0.4446820318698883, 0.4390247166156769, 0.4093727469444275]"
4,Doctor,Have you noticed any changes in your bowel movements or appetite?,"[""changes in stool appearance"", ""diarrhea"", ""recent weight loss"", ""decreased appetite"", ""difficulty eating""]","[0.500160813331604, 0.4452950954437256, 0.4275386929512024, 0.40672144293785095, 0.3942826986312866]"
5,Patient,"Yes, my appetite has decreased a bit and sometimes I feel constipated.","[""decreased appetite"", ""difficulty eating"", ""recent weight loss"", ""diarrhea"", ""constipation""]","[0.5318692326545715, 0.5235163569450378, 0.4960101842880249, 0.4814262390136719, 0.4805087745189667]"
6,Doctor,Any other symptoms like fever or vomiting?,"[""fever"", ""nausea"", ""feeling hot"", ""flu-like syndrome"", ""vomiting""]","[0.5073634386062622, 0.4798840284347534, 0.45838066935539246, 0.4282901883125305, 0.40009617805480957]"
7,Patient,"No fever yet, just some mild vomiting once or twice.","[""fever"", ""flu-like syndrome"", ""feeling hot"", ""nausea"", ""vomiting""]","[0.5180605053901672, 0.4557904601097107, 0.45537668466567993, 0.43645793199539185, 0.37641334533691406]"
8,Doctor,Are you under any particular stress or have you changed your diet recently?,"[""recent weight loss"", ""decreased appetite"", ""difficulty eating"", ""weight gain"", ""changes in stool appearance""]","[0.4868789315223694, 0.4188239276409149, 0.39093050360679626, 0.32198965549468994, 0.2983707785606384]"
9,Patient,"I have been really busy at work, and I think I’ve been eating more fast food than usual.","[""decreased appetite"", ""excessive appetite"", ""difficulty eating"", ""recent weight loss"", ""weight gain""]","[0.4960143566131592, 0.4567583203315735, 0.4516870081424713, 0.41534048318862915, 0.38767242431640625]"
10,Doctor,Thanks for sharing that. It’s important we keep track of these symptoms. Please let me know if anything else develops.,"[""lack of growth"", ""swelling of scrotum"", ""swollen lymph nodes"", ""itching of scrotum"", ""sleepiness""]","[0.42023950815200806, 0.3787880539894104, 0.3784310817718506, 0.37705478072166443, 0.37699034810066223]"
11,Patient,"Will do, doctor. Thank you.","[""changes in stool appearance"", ""difficulty breathing"", ""hemoptysis"", ""penis redness"", ""too little hair""]","[0.24181392788887024, 0.2352362424135208, 0.22624702751636505, 0.21798449754714966, 0.2161928117275238]"
